images,pop,push,grow,shrink
10,31108460,62210995,100,3711425
20,31120870,62233735,200,3711795
30,31133280,62256475,300,3712165
40,31145690,62279215,400,3712535
50,31158100,62301955,500,3712905
60,31170510,62324695,600,3713275
70,31182920,62347435,700,3713645
80,31195330,62370175,800,3714015
90,31207740,62392915,900,3714385
100,31220150,62415655,1000,3714755
200,31344250,62643055,2000,3718455
300,31468350,62870455,3000,3722155
400,31592450,63097855,4000,3725855
500,31716550,63325255,5000,3729555
600,31840650,63552655,6000,3733255
700,31964750,63780055,7000,3736955
800,32088850,64007455,8000,3740655
900,32212950,64234855,9000,3744355
1000,32337050,64462255,10000,3748055
2000,33578050,66736255,20000,3785055
3000,34819050,69010255,30000,3822055
4000,36060050,71284255,40000,3859055
5000,37301050,73558255,50000,3896055
6000,38542050,75832255,60000,3933055
7000,39783050,78106255,70000,3970055
8000,41024050,80380255,80000,4007055
9000,42265050,82654255,90000,4044055
10000,43506050,84928255,100000,4081055
20000,55916050,107668255,200000,4451055
30000,68326050,130408255,300000,4821055
40000,80736050,153148255,400000,5191055
50000,93146050,175888255,500000,5561055
60000,105556050,198628255,600000,5931055
