images,pop,push,grow,shrink
10,31099268,62195418,60,3711192
20,31107238,62210258,120,3711522
30,31115208,62225098,180,3711852
40,31123178,62239938,240,3712182
50,31131148,62254778,300,3712512
60,31139118,62269618,360,3712842
70,31147088,62284458,420,3713172
80,31155058,62299298,480,3713502
90,31163028,62314138,540,3713832
100,31170998,62328978,600,3714162
200,31250698,62477378,1200,3717462
300,31330398,62625778,1800,3720762
400,31410098,62774178,2400,3724062
500,31489798,62922578,3000,3727362
600,31569498,63070978,3600,3730662
700,31649198,63219378,4200,3733962
800,31728898,63367778,4800,3737262
900,31808598,63516178,5400,3740562
1000,31888298,63664578,6000,3743862
2000,32685298,65148578,12000,3776862
3000,33482298,66632578,18000,3809862
4000,34279298,68116578,24000,3842862
5000,35076298,69600578,30000,3875862
6000,35873298,71084578,36000,3908862
7000,36670298,72568578,42000,3941862
8000,37467298,74052578,48000,3974862
9000,38264298,75536578,54000,4007862
10000,39061298,77020578,60000,4040862
20000,47031298,91860578,120000,4370862
30000,55001298,106700578,180000,4700862
40000,62971298,121540578,240000,5030862
50000,70941298,136380578,300000,5360862
60000,78911298,151220578,360000,5690862
