x,y
1,3
-6,2
-5,3
4,-2
7,5
6,5
13,7
8,18
11,9
15,10
11,6
22,12
15,13
14,22
15,18
25,16
24,17
9,18
19,12
14,20
31,21
22,30
23,30
24,32
25,28
26,24
27,18
18,28
29,37
30,34
31,28
31,32
33,34
34,24
35,27
36,41
37,29
42,38
43,39
45,40
50,41
49,42
43,42
44,34
35,45
46,53
46,47
48,57
40,49
49,50
57,51
59,52
53,57
50,54
45,55
56,46
57,62
58,52
59,60
60,68
68,61
70,62
63,61
70,64
65,75
70,66
67,73
68,60
69,68
76,70
71,78
69,72
73,69
80,74
67,75
76,68
82,77
77,78
80,79
77,80
91,81
82,92
83,91
84,90
84,85
89,86
87,89
89,88
85,89
90,86
90,91
82,92
89,93
86,94
95,86
104,96
97,94
92,98
99,94
100,101
