x,y
-5,1
7,2
3,3
10,4
5,5
-3,6
7,-3
8,14
9,9
10,14
11,8
12,12
13,5
24,14
15,17
16,21
20,17
18,18
23,19
20,28
13,21
22,15
23,23
17,24
25,25
26,30
27,22
28,19
24,29
40,30
31,41
32,25
32,33
34,27
35,31
36,36
37,40
32,38
39,39
40,44
41,41
42,42
43,42
52,44
45,55
46,39
57,47
45,48
46,49
50,50
54,51
52,49
53,53
54,53
55,55
58,56
56,57
58,58
59,68
60,60
53,61
64,62
57,63
64,64
66,65
66,59
64,67
68,74
69,70
64,70
71,66
72,62
73,73
74,74
75,75
76,76
70,77
87,78
75,79
83,80
83,81
74,82
83,83
84,83
85,90
86,81
87,84
94,88
89,98
90,92
91,94
85,92
83,93
94,102
95,93
96,98
97,97
98,98
100,99
100,95
