1,1
1,2
3,0
-3,4
5,3
6,-4
7,4
8,8
9,9
8,10
11,11
12,12
13,10
15,14
15,15
16,16
17,9
18,18
19,19
26,20
21,21
13,22
23,23
24,16
33,25
21,26
29,27
21,28
29,29
30,30
29,31
32,32
33,33
34,39
35,35
46,36
37,37
38,38
39,39
40,40
41,39
42,42
43,43
44,44
45,51
46,36
47,55
48,41
50,49
50,50
51,51
52,52
53,53
54,54
55,47
56,56
52,57
58,58
59,59
60,60
61,61
62,64
63,63
72,64
65,65
66,66
60,67
68,72
69,63
70,79
71,71
72,79
73,73
74,74
75,75
76,76
77,77
78,78
79,79
72,80
83,81
82,82
84,83
84,85
85,82
86,86
94,87
97,88
89,89
83,90
93,91
90,92
98,93
94,94
105,95
96,95
97,100
98,102
105,99
100,100
