x,y
1,1
2,-5
-4,3
4,4
5,5
0,6
7,7
8,8
9,9
10,10
11,20
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
24,22
23,23
24,24
25,25
26,26
21,27
28,28
38,29
30,30
31,31
32,37
33,33
34,34
35,35
36,36
37,37
40,38
39,39
40,40
41,41
42,50
43,43
44,44
45,35
46,46
47,47
48,48
39,49
50,50
53,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
55,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
66,72
73,73
74,74
75,67
76,76
77,77
78,78
79,79
87,80
81,81
82,82
83,83
89,84
85,85
78,86
87,87
88,88
89,89
90,89
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,89
99,99
100,100
