x,y
10,1
2,2
3,3
4,3
5,-4
6,6
7,7
8,13
9,9
10,10
11,11
5,12
13,22
14,4
15,21
26,16
25,17
18,18
19,23
22,20
22,21
15,22
27,23
24,24
25,32
26,19
27,34
28,34
29,21
30,30
31,31
32,26
33,33
34,24
35,39
31,36
37,43
38,42
39,46
40,43
41,48
42,42
34,43
38,44
41,45
46,46
47,47
48,48
49,49
50,50
56,51
52,54
53,46
54,54
55,55
56,52
57,57
58,68
59,51
60,60
61,61
62,62
71,63
64,71
75,65
66,66
67,69
59,68
69,67
70,71
71,81
72,72
73,73
83,74
75,75
84,76
77,77
78,84
79,87
78,80
81,87
85,82
84,83
84,84
84,85
86,86
87,81
88,88
94,89
94,90
90,91
101,92
90,93
94,94
95,94
87,96
97,104
98,97
99,99
100,102
