x,y
1,2
-8,2
3,12
4,-1
4,5
9,6
7,10
6,8
8,9
11,10
6,11
3,12
13,18
14,19
15,15
16,6
17,26
26,18
19,11
20,28
21,19
31,22
17,23
24,29
25,20
25,26
29,27
28,28
34,29
30,21
31,41
32,31
33,29
34,28
40,35
30,36
38,37
38,42
39,39
40,40
32,41
41,42
39,43
44,41
45,52
46,51
46,47
48,39
56,49
50,40
60,51
52,45
53,53
49,54
55,55
56,46
57,58
58,66
55,59
62,60
58,61
62,62
56,63
57,64
59,65
71,66
67,67
73,68
79,69
77,70
71,62
62,72
73,63
74,78
77,75
76,83
86,77
87,78
79,74
87,80
81,76
82,90
79,83
84,90
85,91
86,96
87,94
88,84
91,89
96,90
91,86
86,92
93,93
94,101
95,95
101,96
105,97
91,98
99,99
93,100
