x,y
8,1
2,-2
3,13
11,4
5,15
14,6
7,7
8,4
3,9
17,10
11,11
12,10
16,13
14,7
15,15
9,16
25,17
18,18
19,27
13,20
21,21
22,32
23,30
24,14
25,25
26,27
27,27
34,28
29,21
32,30
31,31
40,32
33,43
34,42
30,35
45,36
44,37
38,41
39,49
48,40
41,49
38,42
43,48
44,44
45,40
50,46
47,57
54,48
49,49
60,50
51,44
52,42
51,53
54,44
55,55
56,57
57,49
57,58
59,57
60,60
54,61
62,61
68,63
64,66
65,65
59,66
67,68
68,58
64,69
70,70
70,71
72,63
73,63
77,74
70,75
76,76
77,87
80,78
79,78
80,80
81,85
82,90
83,83
84,76
85,85
88,86
87,96
88,95
89,90
90,92
92,91
83,92
93,101
94,94
88,95
86,96
97,102
98,106
93,99
90,100
