x,y
1,-9
2,4
3,3
8,4
5,3
7,6
7,13
8,7
9,9
13,10
9,11
12,15
13,13
9,14
15,15
25,16
17,18
11,18
19,18
30,20
21,21
30,22
23,14
24,14
25,21
22,26
27,30
18,28
28,29
30,40
31,33
30,32
33,26
30,34
32,35
26,36
27,37
32,38
39,41
35,40
41,34
42,35
43,43
44,44
45,43
43,46
47,53
48,45
49,42
50,56
51,44
58,52
53,53
45,54
59,55
48,56
57,57
51,58
65,59
50,60
61,52
62,59
63,64
64,64
63,65
66,62
60,67
71,68
69,69
70,70
79,71
64,72
73,65
74,65
75,78
75,76
77,76
76,78
75,79
80,85
81,88
82,85
83,81
84,74
89,85
86,94
87,79
90,88
86,89
89,90
83,91
92,89
86,93
94,94
95,100
91,96
107,97
98,98
99,107
100,105
