x,y
-4,1
2,2
3,11
4,8
5,5
6,5
7,7
8,8
9,7
10,10
11,11
14,12
23,13
14,14
15,15
16,16
17,17
18,18
19,9
20,20
21,21
13,22
22,23
20,24
25,25
21,26
27,27
28,28
29,29
30,30
31,26
32,22
33,33
34,34
26,35
36,36
30,37
38,38
39,33
42,40
41,38
42,42
43,50
36,44
45,45
46,56
47,47
48,48
46,49
50,50
51,51
52,47
53,53
54,54
55,54
56,56
57,57
58,58
59,59
60,60
61,61
72,62
63,63
64,64
65,65
66,66
71,67
68,68
69,69
70,70
71,71
73,72
73,73
64,74
85,75
76,76
77,77
78,78
76,79
82,80
81,81
82,78
83,83
84,84
90,85
84,86
88,87
88,92
89,83
90,90
91,91
93,92
93,93
94,94
95,95
91,96
97,97
98,98
99,98
100,100
