3,1
2,4
3,11
4,12
5,-2
6,6
12,7
-2,8
9,11
3,10
1,11
16,12
13,13
18,14
15,5
16,7
17,26
11,18
19,19
20,20
21,21
22,18
23,18
24,15
25,25
33,26
32,27
28,25
35,29
30,30
31,30
32,32
33,33
34,35
45,35
41,36
44,37
28,38
39,39
30,40
33,41
42,36
44,43
44,51
45,45
38,46
47,47
48,48
49,49
50,47
51,43
52,55
45,53
54,54
55,63
56,60
63,57
58,63
63,59
60,60
71,61
62,62
63,63
64,64
65,65
64,66
67,74
68,68
69,69
70,70
71,67
72,67
73,73
74,74
75,70
76,73
77,77
78,78
89,79
80,80
74,81
82,86
83,83
84,84
83,85
86,83
87,91
88,86
89,94
90,90
91,86
88,92
93,97
94,94
105,95
96,96
97,95
98,98
99,95
100,102
