x,y
1,1
-6,2
12,3
-4,4
5,13
6,6
7,-2
8,0
19,9
14,10
17,11
12,4
13,19
14,11
21,15
16,13
24,17
19,18
16,19
20,25
21,29
28,22
18,23
24,18
25,25
29,26
25,27
38,28
25,29
38,30
40,31
32,30
33,34
34,26
42,35
36,26
37,28
38,35
45,39
40,40
42,41
48,42
43,33
40,44
46,45
46,40
44,47
48,44
49,59
41,50
46,51
47,52
51,53
54,62
54,55
56,46
57,57
50,58
59,51
51,60
60,61
70,62
63,58
64,65
61,65
66,58
76,67
74,68
64,69
60,70
71,71
72,74
73,72
74,74
80,75
82,76
77,69
78,77
88,79
89,80
77,81
77,82
83,79
84,84
89,85
87,86
87,91
98,88
81,89
90,83
91,90
92,97
93,101
95,94
105,95
96,96
89,97
93,98
91,99
100,105
