x,y
8,1
7,2
1,3
4,4
5,14
-3,6
7,7
9,8
9,9
11,10
11,19
12,12
7,13
14,14
19,15
11,16
17,7
18,9
14,19
23,20
21,19
20,22
23,23
24,24
27,25
26,26
23,27
32,28
29,29
21,30
31,31
27,32
31,33
34,34
37,35
36,36
41,37
38,33
39,36
40,41
41,35
42,42
43,43
44,44
45,48
43,46
51,47
48,48
49,54
50,50
51,51
52,53
53,53
49,54
50,55
56,56
57,57
58,58
49,59
61,60
61,61
62,62
63,63
70,64
58,65
70,66
67,67
68,73
69,69
70,70
71,71
72,76
69,73
75,74
75,75
71,76
83,77
78,77
79,79
70,80
78,81
82,87
74,83
84,84
85,85
88,86
87,87
88,98
92,89
90,90
91,91
93,92
103,93
94,94
95,98
92,96
97,101
98,98
99,99
94,100
